dataset	population	population_name	description	reg	region	lat	lon
KGP	CDX	Dai	"Chinese Dai in Xishuangbanna, China"	EAS	East_Asia	22	100.78
KGP	CHB	Han_Beijing	"Han Chinese in Beijing, China"	EAS	East_Asia	39.916666	116.383333
KGP	JPT	Japanese_Tokyo	"Japanese in Tokyo, Japan"	EAS	East_Asia	35.68	139.68
KGP	KHV	Kinh	"Kinh in Ho Chi Minh City, Vietnam"	EAS	East_Asia	10.78	106.68
KGP	CHS	Han_Southern	"Southern Han Chinese, China"	EAS	East_Asia	23.13333	113.266667
KGP	BEB	Bengali	"Bengali in Bangladesh"	SAS	South_Asia	23.7	90.35
KGP	GIH	Gujarati	"Gujarati Indian in Houston, TX"	SAS	South_Asia	29.7589	-95.3677
KGP	ITU	Telugu_UK	"Indian Telugu in the UK"	SAS	South_Asia	52.486243	-1.890401
KGP	PJL	Punjabi	"Punjabi in Lahore, Pakistan"	SAS	South_Asia	31.554606	74.357158
KGP	STU	Tamil_UK	"Sri Lankan Tamil in the UK"	SAS	South_Asia	52.486243	-1.890401
KGP	ASW	African_American	"African Ancestry in Southwest" US	AFR	Africa	35.483	-97.53333
KGP	ACB	African_Caribbean	"African Caribbean in Barbados"	AFR	Africa	13.1	-59.62
KGP	ESN	Esan	"Esan in Nigeria"	AFR	Africa	9.06666	7.483333
KGP	GWD	Gambian	"Gambian in Western Division, The Gambia"	AFR	Africa	13.454876	-16.579032
KGP	LWK	Luhya	"Luhya in Webuye, Kenya"	AFR	Africa	-1.27	36.61
KGP	MSL	Mende	"Mende in Sierra Leone"	AFR	Africa	8.48	-13.23
KGP	YRI	Yoruba_Ibdan	"Yoruba in Ibadan, Nigeria"	AFR	Africa	7.4	3.92
KGP	British	GBR	"British in England and Scotland"	EUR	Europe	52.486243	-1.890401
KGP	Finnish	FIN	"Finnish in Finland"	EUR	Europe	60.17	24.93
KGP	IBS	Iberian	"Iberian populations in Spain"	EUR	Europe	40.38	-3.72
KGP	TSI	Toscani	"Toscani in Italy"	EUR	Europe	42.1	12
KGP	CEU	European_CEPH	"Utah residents with Northern and Western European ancestry"	EUR	Europe	40.767	-111.8904
KGP	CLM	Colombian_Medellin	"Colombian in Medellin, Colombia"	AMR	America	4.58333	-74.066666
KGP	MXL	Mexican_LA	"Mexican Ancestry in Los Angeles, California"	AMR	America	34.0544	-118.2439
KGP	PEL	Peruvian	"Peruvian in Lima, Peru"	AMR	America	-12.04	-77.03
KGP	PUR	Puerto_Rican	"Puerto Rican in Puerto Rico"	AMR	America	18.4	-66.1
HGDP	BantuKenyaHGDP	Bantu_Kenya	"Bantu in Kenya"	AFR	Africa	-3	37
HGDP	BantuSouthAfricaHGDP	Bantu_South_Africa	"Bantu in South Africa"	AFR	Africa	-25.6	24.25
