id	sex	population	region	dataset
HG00096	M	GBR	EUR	KGP
HG00097	F	GBR	EUR	KGP
HG00099	F	GBR	EUR	KGP
HG00100	F	GBR	EUR	KGP
HG00101	M	GBR	EUR	KGP
HG00102	F	GBR	EUR	KGP
HG00103	M	GBR	EUR	KGP
HG00105	M	GBR	EUR	KGP
HG00106	F	GBR	EUR	KGP
HG00107	M	GBR	EUR	KGP
HG00108	M	GBR	EUR	KGP
HG00109	M	GBR	EUR	KGP
HG00110	F	GBR	EUR	KGP
HG00111	F	GBR	EUR	KGP
HG00112	M	GBR	EUR	KGP
HG00113	M	GBR	EUR	KGP
HG00114	M	GBR	EUR	KGP
HG00115	M	GBR	EUR	KGP
HG00116	M	GBR	EUR	KGP
HG00117	M	GBR	EUR	KGP
HG00118	F	GBR	EUR	KGP
HG00119	M	GBR	EUR	KGP
HG00120	F	GBR	EUR	KGP
HG00121	F	GBR	EUR	KGP
HG00122	F	GBR	EUR	KGP
HG00123	F	GBR	EUR	KGP
HG00125	F	GBR	EUR	KGP
HG00126	M	GBR	EUR	KGP
HG00127	F	GBR	EUR	KGP
HG00128	F	GBR	EUR	KGP
HG00129	M	GBR	EUR	KGP
HG00130	F	GBR	EUR	KGP
HG00131	M	GBR	EUR	KGP
HG00132	F	GBR	EUR	KGP
HG00133	F	GBR	EUR	KGP
HG00136	M	GBR	EUR	KGP
HG00137	F	GBR	EUR	KGP
HG00138	M	GBR	EUR	KGP
HG00139	M	GBR	EUR	KGP
HG00140	M	GBR	EUR	KGP
HG00141	M	GBR	EUR	KGP
HG00142	M	GBR	EUR	KGP
HG00143	M	GBR	EUR	KGP
HG00145	M	GBR	EUR	KGP
HG00146	F	GBR	EUR	KGP
HG00148	M	GBR	EUR	KGP
HG00149	M	GBR	EUR	KGP
HG00150	F	GBR	EUR	KGP
HG00151	M	GBR	EUR	KGP
HG00154	F	GBR	EUR	KGP
HG00155	M	GBR	EUR	KGP
HG00157	M	GBR	EUR	KGP
HG00158	F	GBR	EUR	KGP
HG00159	M	GBR	EUR	KGP
HG00160	M	GBR	EUR	KGP
HG00171	F	FIN	EUR	KGP
HG00173	F	FIN	EUR	KGP
HG00174	F	FIN	EUR	KGP
HG00176	F	FIN	EUR	KGP
HG00177	F	FIN	EUR	KGP
HG00178	F	FIN	EUR	KGP
HG00179	F	FIN	EUR	KGP
HG00180	F	FIN	EUR	KGP
HG00181	M	FIN	EUR	KGP
HG00182	M	FIN	EUR	KGP
HG00183	M	FIN	EUR	KGP
HG00185	M	FIN	EUR	KGP
HG00186	M	FIN	EUR	KGP
HG00187	M	FIN	EUR	KGP
HG00188	M	FIN	EUR	KGP
HG00189	M	FIN	EUR	KGP
HG00190	M	FIN	EUR	KGP
HG00231	F	GBR	EUR	KGP
HG00232	F	GBR	EUR	KGP
HG00233	F	GBR	EUR	KGP
HG00234	M	GBR	EUR	KGP
HG00235	F	GBR	EUR	KGP
HG00236	F	GBR	EUR	KGP
HG00237	F	GBR	EUR	KGP
HG00238	F	GBR	EUR	KGP
HG00239	F	GBR	EUR	KGP
HG00240	F	GBR	EUR	KGP
HG00242	M	GBR	EUR	KGP
HG00243	M	GBR	EUR	KGP
HG00244	M	GBR	EUR	KGP
HG00245	F	GBR	EUR	KGP
HG00246	M	GBR	EUR	KGP
HG00250	F	GBR	EUR	KGP
HG00251	M	GBR	EUR	KGP
HG00252	M	GBR	EUR	KGP
HG00253	F	GBR	EUR	KGP
HG00254	F	GBR	EUR	KGP
HG00255	F	GBR	EUR	KGP
HG00256	M	GBR	EUR	KGP
HG00257	F	GBR	EUR	KGP
HG00258	F	GBR	EUR	KGP
HG00259	F	GBR	EUR	KGP
HG00260	M	GBR	EUR	KGP
HG00261	F	GBR	EUR	KGP
HG00262	F	GBR	EUR	KGP
HG00263	F	GBR	EUR	KGP
HG00264	M	GBR	EUR	KGP
HG00265	M	GBR	EUR	KGP
HG00266	F	FIN	EUR	KGP
HG00267	M	FIN	EUR	KGP
HG00268	F	FIN	EUR	KGP
HG00269	F	FIN	EUR	KGP
HG00271	M	FIN	EUR	KGP
HG00272	F	FIN	EUR	KGP
HG00273	M	FIN	EUR	KGP
HG00274	F	FIN	EUR	KGP
HG00275	F	FIN	EUR	KGP
HG00276	F	FIN	EUR	KGP
HG00277	M	FIN	EUR	KGP
HG00278	M	FIN	EUR	KGP
HG00280	M	FIN	EUR	KGP
HG00281	F	FIN	EUR	KGP
HG00282	F	FIN	EUR	KGP
HG00284	M	FIN	EUR	KGP
HG00285	F	FIN	EUR	KGP
HG00288	F	FIN	EUR	KGP
HG00290	M	FIN	EUR	KGP
HG00304	F	FIN	EUR	KGP
HG00306	F	FIN	EUR	KGP
HG00308	M	FIN	EUR	KGP
HG00309	F	FIN	EUR	KGP
HG00310	M	FIN	EUR	KGP
HG00311	M	FIN	EUR	KGP
HG00313	F	FIN	EUR	KGP
HG00315	F	FIN	EUR	KGP
HG00318	F	FIN	EUR	KGP
HG00319	F	FIN	EUR	KGP
HG00320	F	FIN	EUR	KGP
HG00321	M	FIN	EUR	KGP
HG00323	F	FIN	EUR	KGP
HG00324	F	FIN	EUR	KGP
HG00325	M	FIN	EUR	KGP
HG00326	F	FIN	EUR	KGP
HG00327	F	FIN	EUR	KGP
HG00328	F	FIN	EUR	KGP
HG00329	M	FIN	EUR	KGP
HG00330	F	FIN	EUR	KGP
HG00331	F	FIN	EUR	KGP
HG00332	F	FIN	EUR	KGP
HG00334	F	FIN	EUR	KGP
HG00335	M	FIN	EUR	KGP
HG00336	M	FIN	EUR	KGP
HG00337	F	FIN	EUR	KGP
HG00338	M	FIN	EUR	KGP
HG00339	F	FIN	EUR	KGP
HG00341	M	FIN	EUR	KGP
